"Add","Toevoegen"
"Bluesky","Bluesky"
"CoC Number","KvK-nummer"
"CoC-Number","KvK-nummer"
"Day of Week","Dag van de week"
"Each option can be a full url or just the username","Elke optie kan een volledige url zijn of alleen de gebruikersnaam"
"Email","E-mail"
"Enabled Opening Hours of Operation","Openingstijden ingeschakeld"
"Enabled","Ingeschakeld"
"Extra Store Phone Number","Extra telefoonnummer van de winkel"
"Facebook","Facebook"
"Follow us on","Volg ons op"
"Friday","Vrijdag"
"Go to our %1 page","Ga naar onze %1 pagina"
"Hours","Uur"
"Iban-Number","IBAN-nummer"
"IBAN/BANK Number","IBAN/BANK-nummer"
"Instagram","Instagram"
"LinkedIn","LinkedIn"
"Mastodon","Mastodon"
"Message","Bericht"
"Monday","Maandag"
"No Store Hours Configured","Geen openingstijden geconfigureerd"
"No Store Socials Configured","Geen socials van de winkel geconfigureerd"
"Notices","Mededelingen"
"Opening Hours of Operation","Openingstijden"
"Opening Hours","Openingstijden"
"Phone","Telefoon"
"Pinterest","Pinterest"
"Saturday","Zaterdag"
"Siteation","Siteation"
"Socials","Socials"
"Store Hours of Operation","Openingstijden van de winkel"
"Store Info","Winkel info"
"Store Information","Winkelinformatie"
"Store Notice","Winkelmededeling"
"Sunday","Zondag"
"Threads","Threads"
"Thursday","Donderdag"
"Tuesday","Dinsdag"
"VAT-Number","BTW-nummer"
"Vimeo","Vimeo"
"Wednesday","Woensdag"
"Wensday","Woensdag"
"WhatsApp Phone Number","WhatsApp-telefoonnummer"
"Whatsapp","Whatsapp"
"X (Twitter)","X (Twitter)"
"YouTube","YouTube"
